	logFC	AveExpr	t	P.Value	adj.P.Val	B	chemistry	mode	database	CustomStds	variable	significance	model_id	JGI_name	model_name	priority	annotation_source
55	-1.55470013245944	23.5040211179217	-8.99442141697207	1.08509849453185e-05	6.61910081664429e-05	3.51506505669552	HILIC	NEG	EMA	False	peak_height	Down	C00135	histidine	L-Histidine (His-L)	0	
122	1.78396949575234	21.8745278485682	8.64184918782186	1.48798167888016e-05	8.32521773920364e-05	3.17343578978564	HILIC	NEG	EMA	True	peak_height	Up	C00020	AMP	AMP	0	
153	-2.4903239958076	17.5457791876393	-8.51402326674105	1.67278996048541e-05	8.77765054534281e-05	3.04671897457858	HILIC	NEG	EMA	False	peak_height	Down	C00624	N-acetyl-glutamic_acid	N-Acetyl-L-glutamate	0	
40	1.23692223765595	19.8554568336989	7.45060523734027	4.69612012141066e-05	0.0002107234702872	1.92881846312284	HILIC	POS	EMA	False	peak_height	Up	C00064	glutamine	L-Glutamine (Gln-L)	0	
44	-1.67563730822142	24.6288365058644	-7.37451144163022	5.07777906918219e-05	0.0002154744509357	1.84418494775629	HILIC	NEG	EMA	False	peak_height	Down	C00577	glyceraldehyde	D-Glyceraldehyde	0	
165	1.42144784993473	24.2305126388588	7.34331346570462	5.2440045971515e-05	0.0002197509586595	1.80929625239145	HILIC	POS	EMA	False	peak_height	Up	C00212	adenosine	Adenosine	0	
22	-1.05976896647122	23.9102524290129	-7.16581505093736	6.31118899371969e-05	0.0002566550190779	1.60867434120866	HILIC	NEG	EMA	False	peak_height	Down	C00475	cytidine	Cytidine	0	
85	2.93953119615008	23.2221322784118	7.11412604204247	6.66524887938015e-05	0.000260211316251	1.54956352411736	HILIC	NEG	EMA	False	peak_height	Up	C08240	melibiose	Gentiobiose	0	
38	-0.997622568753997	25.6625376401433	-6.83734008777621	8.97316541025389e-05	0.000336838824631	1.22762999254315	HILIC	POS	EMA	False	peak_height	Down	C00025	glutamic_acid	L-Glutamic acid (Glu-L)	0	
15	-1.61839705141148	22.3868338178976	-6.47828427168501	0.0001337098130699	0.0004797822704276	0.796012689516941	HILIC	POS	EMA	False	peak_height	Down	C00327	citrulline	L-Citrulline (Clt)	0	
168	-1.02269301820571	27.3729985756598	-6.40913972358052	0.0001446397507142	0.000497071819356	0.711024583127919	HILIC	NEG	EMA	False	peak_height	Down	C00041	alanine	L-Alanine (Ala-L)	0	
155	-1.72886341830269	16.6359371175756	-6.37549799586923	0.0001503080764503	0.0005129394497047	0.669451758551245	HILIC	POS	EMA	False	peak_height	Down	C00631	2-phosphoglyceric_acid	2-Phospho-D-glycerate (2PG)	0	
92	1.17162211566441	17.0611325545685	5.94782667195782	0.0002480745485636	0.0008235399979529	0.128003112372852	C18	POS	EMA	False	peak_height	Up	C00153	nicotinamide	Nicotinamide	0	
68	-1.16468178020816	19.6899639473315	-5.88852464282303	0.0002664160607443	0.0008610002492928	0.0509935401638018	HILIC	NEG	EMA	False	peak_height	Down	C00311	isocitric_acid	Isocitrate	0	
107	-0.795084084241484	25.8311574379617	-5.83761658066152	0.0002833439967215	0.0009037377150333	-0.0154973055402019	HILIC	NEG	EMA	False	peak_height	Down	C00148	proline	L-Proline (Pro-L)	0	
57	-0.718252398145381	26.0341315790702	-5.74893320490558	0.0003157012129586	0.0009510011847148	-0.132173325757716	HILIC	NEG	EMA	False	peak_height	Down	C00263	homoserine	L-Homoserine	0	
10	-1.23243014259377	16.8660819565825	-5.16156619985069	0.0006638793107946	0.0018654290140831	-0.93256838479981	HILIC	POS	EMA	False	peak_height	Down	C00120	biotin	Biotin	0	
110	0.880611599345723	16.3839436338623	5.13054845322376	0.000691383925131	0.001906188448949	-0.976185838148935	HILIC	NEG	EMA	True	peak_height	Up	C00008	ADP	ADP	0	
81	1.0974724529304	18.1695226790503	5.02163698899298	0.0007981724041212	0.0021882479393887	-1.13041703881799	HILIC	POS	EMA	False	peak_height	Up	C00329	mannosamine	D-Glucosamine	0	
118	-1.25946107910484	20.5705578467112	-4.86869354816307	0.0009793662261117	0.0025974495562095	-1.34983474453127	HILIC	NEG	EMA	False	peak_height	Down	C00065	serine	L-Serine (Ser-L)	0	
52	1.74383364167574	17.7656616567702	4.52554852665644	0.0015691402629258	0.0039268740938862	-1.85405413395407	HILIC	POS	EMA	False	peak_height	Up	C00387	guanosine	Guanosine	0	
19	-2.24557621750933	20.2347657919366	-4.45734138543388	0.0017268055958039	0.0042519684325172	-1.95621325198115	HILIC	NEG	ISTD	False	peak_height	Down	C00491	cystine_unlabeled	L-Cystine	0	
70	-0.54068850598625	23.6434934187754	-4.45443264910637	0.00173389696326	0.0042519684325172	-1.96058390766886	HILIC	POS	EMA	False	peak_height	Down	C00407	isoleucine	L-Isoleucine (Ile-L)	0	
64	1.1765489603291	16.8235488909285	4.43952885532726	0.0017707255169634	0.0043205702613908	-1.98299619161505	HILIC	POS	EMA	False	peak_height	Up	C00294	inosine	Inosine	0	
129	1.55843811510687	23.7044298750524	4.33683001137915	0.0020484834291638	0.0049002936932937	-2.13824288377858	HILIC	POS	EMA	False	peak_height	Up	C01083	trehalose	alpha,alpha-Trehalose	0	
161	0.439562584494679	15.0384417616706	4.30322634981648	0.0021492313058484	0.0051162189134343	-2.1893440079466	HILIC	NEG	EMA	False	peak_height	Up	C00029	UDP-Glucose	UDPglucose	0	
140	-0.688551417471519	16.9327031094739	-4.09600598445849	0.0029001900118507	0.0066759090838828	-2.50767986235892	HILIC	POS	EMA	True	peak_height	Down	C00024	Acetyl-CoA	Acetyl-CoA (AcCoA)	0	
135	0.520251235571781	20.5503925414431	3.99626698905041	0.0033575057991638	0.0075158845412474	-2.66280614350852	HILIC	POS	EMA	False	peak_height	Up	C00082	tyrosine	L-Tyrosine (Tyr-L)	0	
128	0.762302008314471	16.8021120568759	3.97352075190264	0.0034721964256786	0.0076802645105345	-2.69835036776611	HILIC	POS	EMA	False	peak_height	Up	C00178	thymine	Thymine	0	
120	0.918616459048597	18.5678997145708	3.90981788462123	0.0038161440274739	0.0083510237013778	-2.79821529149029	HILIC	POS	EMA	False	peak_height	Up	C00492	stachyose	Raffinose	0	
112	0.389148202076548	21.5222851771041	3.86935896863967	0.0040532586667555	0.008752169156534	-2.86188134355775	HILIC	NEG	EMA	False	peak_height	Up	C00022	pyruvic_acid	Pyruvate (Pyr)	0	
95	-1.00064297330451	21.9930919103883	-3.86632446902392	0.0040716625576006	0.0087531776568683	-2.86666379766583	HILIC	NEG	EMA	False	peak_height	Down	C00077	ornithine	L-Ornithine (Orn)	0	
