query_name	pubchem_cid	first_synonym	smiles	inchi	inchikey	molecular_formula	molecular_weight	status	metabolite_name
2-methylmaleic_acid	643798.0	Citraconic acid	CC(=CC(=O)O)C(=O)O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h2H,1H3,(H,6,7)(H,8,9)/b3-2-	HNEGQIOMVPPMNR-IHWYPQMZSA-N	C5H6O4	130.1	found_with_underscore_fix	2-methylmaleic_acid
anthranilate	5459842.0	anthranilate	C1=CC=C(C(=C1)C(=O)[O-])N	InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)/p-1	RWZYAGGXGHYGMB-UHFFFAOYSA-M	C7H6NO2-	136.13	found	anthranilate
manool	3034394.0	Manool	CC1(CCCC2(C1CCC(=C)C2CCC(C)(C=C)O)C)C	InChI=1S/C20H34O/c1-7-19(5,21)14-11-16-15(2)9-10-17-18(3,4)12-8-13-20(16,17)6/h7,16-17,21H,1-2,8-14H2,3-6H3/t16-,17-,19-,20+/m0/s1	CECREIRZLPLYDM-QGZVKYPTSA-N	C20H34O	290.5	found	manool
fructose	2723872.0	D-fructopyranose	C1C(C(C(C(O1)(CO)O)O)O)O	InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1	LKDRXBCSQODPBY-VRPWFDPXSA-N	C6H12O6	180.16	found	fructose_unlabeled
aspartic_acid	5960.0	L-aspartic acid	C(C(C(=O)O)N)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	CKLJMWTZIZZHCS-REOHCLBHSA-N	C4H7NO4	133.1	found_with_underscore_fix	aspartic_acid
aspartic_acid	5960.0	L-aspartic acid	C(C(C(=O)O)N)C(=O)O	InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/t2-/m0/s1	CKLJMWTZIZZHCS-REOHCLBHSA-N	C4H7NO4	133.1	found_with_underscore_fix	aspartic_acid_unlabeled
proline	145742.0	L-proline	C1CC(NC1)C(=O)O	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C5H9NO2	115.13	found	proline_unlabeled
alanine	5950.0	L-alanine	CC(C(=O)O)N	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	QNAYBMKLOCPYGJ-REOHCLBHSA-N	C3H7NO2	89.09	found	alanine
proline	145742.0	L-proline	C1CC(NC1)C(=O)O	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1	ONIBWKKTOPOVIA-BYPYZUCNSA-N	C5H9NO2	115.13	found	proline
alanine	5950.0	L-alanine	CC(C(=O)O)N	InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1	QNAYBMKLOCPYGJ-REOHCLBHSA-N	C3H7NO2	89.09	found	alanine_unlabeled
threonine	6288.0	L-threonine	CC(C(C(=O)O)N)O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3+/m1/s1	AYFVYJQAPQTCCC-GBXIJSLDSA-N	C4H9NO3	119.12	found	threonine_unlabeled
allothreonine	99289.0	L-allo-threonine	CC(C(C(=O)O)N)O	InChI=1S/C4H9NO3/c1-2(6)3(5)4(7)8/h2-3,6H,5H2,1H3,(H,7,8)/t2-,3-/m0/s1	AYFVYJQAPQTCCC-HRFVKAFMSA-N	C4H9NO3	119.12	found	allothreonine
